X0             Y0             Theta          X              Y              
35.0000        65.0000        5.0215         36.5947        60.0068        
35.0000        65.0000        5.0692         36.8613        60.0068        
35.0000        65.0000        5.1169         37.1376        60.0069        
35.0000        65.0000        5.1646         37.4253        60.0070        
35.0000        65.0000        5.2123         37.7268        60.0071        
35.0000        65.0000        5.2599         38.0443        60.0073        
35.0000        65.0000        5.3076         38.3809        60.0074        
35.0000        65.0000        5.3553         38.7398        60.0076        
35.0000        65.0000        5.4030         39.1252        60.0081        
35.0000        65.0000        5.4507         39.5419        60.0087        
35.0000        65.0000        5.4984         39.9886        60.0134        
35.0000        65.0000        -0.7372        39.9916        60.4681        
35.0000        65.0000        -0.6895        39.9917        60.8842        
35.0000        65.0000        -0.6419        39.9919        61.2687        
35.0000        65.0000        -0.5942        39.9922        61.6268        
35.0000        65.0000        -0.5466        39.9923        61.9627        
35.0000        65.0000        -0.4989        39.9925        62.2795        
35.0000        65.0000        -0.4513        39.9925        62.5804        
35.0000        65.0000        -0.4036        39.9926        62.8677        
35.0000        65.0000        -0.3560        39.9929        63.1435        
35.0000        65.0000        -0.3083        39.9929        63.4097        
35.0000        65.0000        -0.2607        39.9929        63.6680        
35.0000        65.0000        -0.2131        39.9930        63.9198        
35.0000        65.0000        -0.1654        39.9930        64.1665        
35.0000        65.0000        -0.1178        39.9931        64.4093        
35.0000        65.0000        -0.0701        39.9932        64.6493        
35.0000        65.0000        -0.0225        39.9932        64.8878        
35.0000        65.0000        0.0252         39.9932        65.1257        
35.0000        65.0000        0.0728         39.9931        65.3643        
35.0000        65.0000        0.1205         39.9931        65.6045        
35.0000        65.0000        0.1681         39.9933        65.8475        
35.0000        65.0000        0.2158         39.9932        66.0944        
35.0000        65.0000        0.2634         39.9931        66.3465        
35.0000        65.0000        0.3111         39.9932        66.6053        
35.0000        65.0000        0.3587         39.9931        66.8720        
35.0000        65.0000        0.4064         39.9932        67.1485        
35.0000        65.0000        0.4540         39.9931        67.4366        
35.0000        65.0000        0.5016         39.9930        67.7383        
35.0000        65.0000        0.5493         39.9929        68.0563        
35.0000        65.0000        0.5969         39.9928        68.3934        
35.0000        65.0000        0.6446         39.9928        68.7530        
35.0000        65.0000        0.6922         39.9927        69.1394        
35.0000        65.0000        0.7399         39.9926        69.5575        
35.0000        65.0000        0.7875         39.9926        70.0136        
35.0000        65.0000        0.8350         39.5335        70.0076        
35.0000        65.0000        0.8826         39.1175        70.0069        
35.0000        65.0000        0.9301         38.7331        70.0066        
35.0000        65.0000        0.9776         38.3752        70.0064        
35.0000        65.0000        1.0251         38.0395        70.0062        
35.0000        65.0000        1.0727         37.7227        70.0062        
35.0000        65.0000        1.1202         37.4220        70.0061        
35.0000        65.0000        1.1677         37.1347        70.0060        
35.0000        65.0000        1.2152         36.8589        70.0060        
35.0000        65.0000        1.2628         36.5927        70.0059        
35.0000        65.0000        1.3103         36.3344        70.0059        
35.0000        65.0000        1.3578         36.0826        70.0059        
35.0000        65.0000        1.4053         35.8359        70.0058        
35.0000        65.0000        1.4529         35.5931        70.0059        
35.0000        65.0000        1.5004         35.3531        70.0057        
35.0000        65.0000        1.5479         35.1146        70.0057        
35.0000        65.0000        1.5954         34.8767        70.0058        
35.0000        65.0000        1.6430         34.6382        70.0059        
35.0000        65.0000        1.6905         34.3980        70.0057        
35.0000        65.0000        1.7380         34.1551        70.0058        
35.0000        65.0000        1.7855         33.9083        70.0058        
35.0000        65.0000        1.8331         33.6563        70.0057        
35.0000        65.0000        1.8806         33.3977        70.0059        
35.0000        65.0000        1.9281         33.1312        70.0059        
35.0000        65.0000        1.9756         32.8550        70.0058        
35.0000        65.0000        2.0231         32.5674        70.0059        
35.0000        65.0000        2.0707         32.2660        70.0060        
35.0000        65.0000        2.1182         31.9486        70.0061        
35.0000        65.0000        2.1657         31.6122        70.0062        
35.0000        65.0000        2.2132         31.2534        70.0064        
35.0000        65.0000        2.2608         30.8680        70.0067        
35.0000        65.0000        2.3083         30.4509        70.0072        
35.0000        65.0000        2.3558         29.9918        70.0123        
35.0000        65.0000        2.4034         29.9904        69.5581        
35.0000        65.0000        2.4509         29.9905        69.1403        
35.0000        65.0000        2.4984         29.9906        68.7543        
35.0000        65.0000        2.5460         29.9908        68.3948        
35.0000        65.0000        2.5935         29.9909        68.0578        
35.0000        65.0000        2.6411         29.9910        67.7398        
35.0000        65.0000        2.6886         29.9910        67.4380        
35.0000        65.0000        2.7362         29.9911        67.1499        
35.0000        65.0000        2.7837         29.9912        66.8732        
35.0000        65.0000        2.8312         29.9913        66.6063        
35.0000        65.0000        2.8788         29.9913        66.3474        
35.0000        65.0000        2.9263         29.9914        66.0951        
35.0000        65.0000        2.9739         29.9913        65.8480        
35.0000        65.0000        3.0214         29.9914        65.6048        
35.0000        65.0000        3.0690         29.9913        65.3644        
35.0000        65.0000        3.1165         29.9914        65.1257        
35.0000        75.0000        3.1641         29.9915        74.8870        
35.0000        75.0000        3.2117         29.9916        74.6484        
35.0000        75.0000        3.2592         29.9915        74.4081        
35.0000        75.0000        3.3068         29.9914        74.1651        
35.0000        75.0000        3.3543         29.9914        73.9182        
