u g r i z y
0.25 0.25 0.25 0.25 1.124864047105444 3.2571142363854033
0.25 0.25 0.25 0.25 1.1295474013641096 3.2690668286775932
0.25 0.25 0.25 0.25 1.1342307556227753 3.281019420969783
0.25 0.25 0.25 0.25 1.138914109881441 3.2929720132619735
0.25 0.25 0.25 0.25 1.1435974641401065 3.3049246055541635
0.25 0.25 0.25 0.25 1.1482808183987723 3.3168771978463534
0.25 0.25 0.25 0.25 1.1529641726574378 3.328829790138543
0.25 0.25 0.25 0.25 1.1576475269161035 3.3407823824307328
0.25 0.25 0.25 0.25 1.162330881174769 3.3527349747229227
0.25 0.25 0.25 0.25 1.1670142354334347 3.364687567015113
0.25 0.25 0.25 0.25 1.1716975896921005 3.376640159307303
0.25 0.25 0.25 0.25 1.176380943950766 3.388592751599493
0.25 0.25 0.25 0.25 1.1810642982094317 3.4005453438916833
0.25 0.25 0.25 0.25 1.1857476524680972 3.4124979361838728
0.25 0.25 0.25 0.25 1.190431006726763 3.4244505284760627
0.25 0.25 0.25 0.25 1.1951143609854284 3.436403120768252
0.25 0.25 0.25 0.2503480645310755 1.199797715244094 3.4483557130604425
0.25 0.25 0.25 0.25204058762255194 1.20448106950276 3.460308305352633
0.25 0.25 0.25 0.2537331107140282 1.2091644237614254 3.4722608976448224
0.25 0.25 0.25 0.25542563380550465 1.213847778020091 3.4842134899370123
0.25 0.25 0.25 0.2571181568969809 1.2185311322787564 3.4961660822292018
0.25 0.25 0.25 0.25881067998845736 1.2232144865374222 3.508118674521392
0.25 0.25 0.25 0.26050320307993363 1.2278978407960877 3.5200712668135816
0.25 0.25 0.25 0.26219572617141007 1.2325811950547534 3.532023859105772
0.25 0.25 0.25 0.26388824926288645 1.2372645493134191 3.5439764513979624
0.25 0.25 0.25 0.2655807723543628 1.2419479035720846 3.555929043690152
0.25 0.25 0.25 0.2672732954458392 1.2466312578307504 3.567881635982342
0.25 0.25 0.25 0.2689658185373155 1.2513468324438977 3.5798342282745317
0.25 0.25 0.25 0.27065834162879193 1.2561449729087708 3.5917868205667216
0.25 0.25 0.25 0.2723508647202683 1.260943113373644 3.603739412858912
0.25 0.25 0.25 0.27404338781174464 1.2657412538385167 3.6156920051511015
0.25 0.25 0.25 0.275735910903221 1.2705393943033898 3.627644597443292
0.25 0.25 0.25 0.27742843399469735 1.2753375347682627 3.6395971897354813
0.25 0.25 0.25 0.27912095708617374 1.2801356752331359 3.651549782027671
0.25 0.25 0.25 0.2808134801776502 1.284933815698009 3.6635023743198616
0.25 0.25 0.25 0.28250600326912645 1.2897319561628817 3.675454966612051
0.25 0.25 0.25 0.2841985263606029 1.2945300966277549 3.6874075589042414
0.25 0.25 0.25 0.2858910494520792 1.2993282370926276 3.699360151196431
0.25 0.25 0.25 0.2875835725435556 1.3041263775575007 3.7113127434886213
0.25 0.25 0.25 0.2892760956350319 1.3089245180223736 3.7232653357808108
0.25 0.25 0.25 0.2909686187265083 1.3137226584872468 3.735217928073001
0.25 0.25 0.25 0.29266114181798475 1.31852079895212 3.747170520365191
0.25 0.25 0.25 0.294353664909461 1.3233189394169926 3.7591849648659093
0.25 0.25 0.25 0.29604618800093746 1.3281170798818658 3.771218592464653
0.25 0.25 0.25 0.2977387110924138 1.3329152203467385 3.783252220063396
0.25 0.25 0.25 0.29943123418389017 1.3377133608116116 3.79528584766214
0.25 0.25 0.25 0.3011237572753666 1.3425115012764848 3.8073194752608837
0.25 0.25 0.25 0.3028162803668429 1.3473096417413577 3.819353102859627
0.25 0.25 0.25 0.3045088034583193 1.3521077822062306 3.831386730458371
0.25 0.25 0.25 0.3062013265497956 1.3569059226711035 3.843420358057114
0.25 0.25 0.25 0.30789384964127203 1.3617040631359767 3.8554539856558576
0.25 0.25 0.25 0.3095863727327483 1.3665022036008494 3.8674876132546006
0.25 0.25 0.25 0.31127889582422474 1.3713003440657225 3.8795212408533444
0.25 0.25 0.25 0.3129714189157011 1.3760984845305957 3.891554868452088
0.25 0.25 0.25 0.31466394200717746 1.3808966249954686 3.9035884960508316
0.25 0.25 0.25 0.3163564650986539 1.3856947654603418 3.9156221236495754
0.25 0.25 0.25 0.31804898819013017 1.3904929059252145 3.9276557512483183
0.25 0.25 0.25 0.3197415112816066 1.3952910463900876 3.939689378847062
0.25 0.25 0.25 0.321434034373083 1.4000891868549608 3.951723006445806
0.25 0.25 0.25 0.3231265574645593 1.4048873273198335 3.9637566340445494
0.25 0.25 0.25 0.3248190805560357 1.4096854677847066 3.975790261643293
0.25 0.25 0.25 0.326511603647512 1.4144836082495793 3.987823889242036
0.25 0.25 0.25 0.32820412673898847 1.4192817487144525 3.99985751684078
0.25 0.25 0.25 0.32989664983046485 1.4240798891793256 4.011891144439524
0.25 0.25 0.25 0.3315891729219412 1.4288780296441985 4.023924772038267
0.25 0.25 0.25 0.33328169601341756 1.4336761701090717 4.0359583996370105
0.25 0.25 0.25 0.3349742191048939 1.4384743105739444 4.047992027235754
0.25 0.25 0.25 0.33666674219637027 1.4432724510388175 4.060025654834497
0.25 0.25 0.25 0.3383592652878466 1.4480705915036902 4.072059282433241
0.25 0.25 0.25 0.34005178837932304 1.4528687319685634 4.084092910031984
0.25 0.25 0.25 0.3417443114707994 1.4576668724334365 4.096126537630728
0.25 0.25 0.25 0.3434368345622757 1.4624650128983094 4.108160165229472
0.25 0.25 0.25 0.34512935765375213 1.4672631533631826 4.120193792828215
0.25 0.25 0.25 0.34682188074522846 1.4720612938280553 4.1322274204269585
0.25 0.25 0.25 0.34851440383670484 1.4768594342929284 4.144261048025702
0.25 0.25 0.25 0.3502069269281813 1.4816575747578016 4.156294675624446
0.25 0.25 0.25 0.35189945001965756 1.4864557152226743 4.1683283032231895
0.25 0.25 0.25 0.353591973111134 1.4912538556875474 4.180361930821933
0.25 0.25 0.25 0.35528449620261027 1.4960519961524203 4.192395558420676
0.25 0.25 0.25 0.3569770192940867 1.5008501366172933 4.20442918601942
0.25 0.25 0.25 0.35866954238556314 1.5056482770821664 4.216462813618164
0.25 0.25 0.25 0.3603620654770394 1.5104464175470393 4.228496441216906
0.25 0.25 0.25 0.36205458856851586 1.5152445580119125 4.240530068815651
0.25 0.25 0.25 0.36374711165999213 1.5200426984767852 4.25258105517438
0.25 0.25 0.25 0.36543963475146857 1.5248408389416583 4.264696162332122
0.25 0.25 0.25 0.36713215784294484 1.5296389794065313 4.276811269489864
0.25 0.25 0.25 0.3688246809344213 1.5344371198714044 4.288926376647606
0.25 0.25 0.25 0.3705172040258977 1.5392352603362776 4.3010414838053475
0.25 0.25 0.25 0.372209727117374 1.5440334008011503 4.3131565909630885
0.25 0.25 0.25 0.3739022502088504 1.5488315412660234 4.325271698120831
0.25 0.25 0.25 0.3755947733003267 1.553629681730896 4.337386805278572
0.25 0.25 0.25 0.37728729639180314 1.5584278221957693 4.349501912436314
0.25 0.25 0.25 0.3789798194832795 1.5632259626606424 4.361617019594057
0.25 0.25 0.25 0.38067234257475585 1.568024103125515 4.373732126751798
